combination,installment,interest,APR
100/36,"10,00","23,88","27,09"
500/36,"19,69","23,88","27,09"
1000/36,"39,38","23,88","27,09"
2000/36,"78,76","23,88","27,09"
3000/36,"118,13","23,88","27,09"
4000/36,"157,51","23,88","27,09"
5000/36,"196,88","23,88","27,09"
100/36,"10,00","23,88","27,09"
500/36,"19,69","23,88","27,09"
1000/36,"39,38","23,88","27,09"
2000/36,"78,76","23,88","27,09"
3000/36,"118,13","23,88","27,09"
4000/36,"157,51","23,88","27,09"
5000/36,"196,88","23,88","27,09"
